10004,ocd-division/country:us/state:de/sldu:4
10005,ocd-division/country:us/state:de/sldu:5
10006,ocd-division/country:us/state:de/sldu:6
10007,ocd-division/country:us/state:de/sldu:7
10008,ocd-division/country:us/state:de/sldu:8
10009,ocd-division/country:us/state:de/sldu:9
10010,ocd-division/country:us/state:de/sldu:10
10011,ocd-division/country:us/state:de/sldu:11
10012,ocd-division/country:us/state:de/sldu:12
10013,ocd-division/country:us/state:de/sldu:13
10014,ocd-division/country:us/state:de/sldu:14
10015,ocd-division/country:us/state:de/sldu:15
10016,ocd-division/country:us/state:de/sldu:16
10017,ocd-division/country:us/state:de/sldu:17
10018,ocd-division/country:us/state:de/sldu:18
10019,ocd-division/country:us/state:de/sldu:19
10020,ocd-division/country:us/state:de/sldu:20
10021,ocd-division/country:us/state:de/sldu:21
11001,ocd-division/country:us/district:dc/ward:1
11002,ocd-division/country:us/district:dc/ward:2
11003,ocd-division/country:us/district:dc/ward:3
11004,ocd-division/country:us/district:dc/ward:4
11005,ocd-division/country:us/district:dc/ward:5
11006,ocd-division/country:us/district:dc/ward:6
11007,ocd-division/country:us/district:dc/ward:7
11008,ocd-division/country:us/district:dc/ward:8
12001,ocd-division/country:us/state:fl/sldu:1
12002,ocd-division/country:us/state:fl/sldu:2
12003,ocd-division/country:us/state:fl/sldu:3
12004,ocd-division/country:us/state:fl/sldu:4
12005,ocd-division/country:us/state:fl/sldu:5
12006,ocd-division/country:us/state:fl/sldu:6
12007,ocd-division/country:us/state:fl/sldu:7
12008,ocd-division/country:us/state:fl/sldu:8
12009,ocd-division/country:us/state:fl/sldu:9
12010,ocd-division/country:us/state:fl/sldu:10
12011,ocd-division/country:us/state:fl/sldu:11
12012,ocd-division/country:us/state:fl/sldu:12
12013,ocd-division/country:us/state:fl/sldu:13
12014,ocd-division/country:us/state:fl/sldu:14
12015,ocd-division/country:us/state:fl/sldu:15
12016,ocd-division/country:us/state:fl/sldu:16
12017,ocd-division/country:us/state:fl/sldu:17
12018,ocd-division/country:us/state:fl/sldu:18
12019,ocd-division/country:us/state:fl/sldu:19
12020,ocd-division/country:us/state:fl/sldu:20
12021,ocd-division/country:us/state:fl/sldu:21
12022,ocd-division/country:us/state:fl/sldu:22
12023,ocd-division/country:us/state:fl/sldu:23
12024,ocd-division/country:us/state:fl/sldu:24
12025,ocd-division/country:us/state:fl/sldu:25
12026,ocd-division/country:us/state:fl/sldu:26
12027,ocd-division/country:us/state:fl/sldu:27
12028,ocd-division/country:us/state:fl/sldu:28
12029,ocd-division/country:us/state:fl/sldu:29
12030,ocd-division/country:us/state:fl/sldu:30
12031,ocd-division/country:us/state:fl/sldu:31
12032,ocd-division/country:us/state:fl/sldu:32
12033,ocd-division/country:us/state:fl/sldu:33
12034,ocd-division/country:us/state:fl/sldu:34
12035,ocd-division/country:us/state:fl/sldu:35
12036,ocd-division/country:us/state:fl/sldu:36
12037,ocd-division/country:us/state:fl/sldu:37
12038,ocd-division/country:us/state:fl/sldu:38
12039,ocd-division/country:us/state:fl/sldu:39
12040,ocd-division/country:us/state:fl/sldu:40
13001,ocd-division/country:us/state:ga/sldu:1
